"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"@HOLE0";"";1;"";;;
2;"C1,C2";"C025-025X050";2;"10nf";;;
3;"C3";"C025-025X050";1;"";;;
4;"C5";"C025-025X050";1;"1uf";;;
5;"C6,C8";"C025-025X050";2;"10nF";;;
6;"D1,D1,D1-OPT2,D1-OPT3";"DO35-7";4;"1N4148";;;
7;"IC1,IC5";"DIL08";2;"NE555N";;;
8;"IC2";"DIL14";1;"74AHCT132N";;;
9;"IC3";"DIL14";1;"74HCT74N";;;
10;"R1,R4,R6,R8";"0204_7";4;"10K";;;
11;"R2";"0204_7";1;"";;;
12;"R3";"0204_7";1;"18K";;;
13;"R5";"0204_7";1;"82K";;;
14;"R7";"0204_7";1;"10k";;;
15;"SV1";"MA06-2";1;"";;;
16;"CON1";"SIP40";1;" RC2014 Backplane";;;
17;"U$3";"3PSLIDE";1;"SWITCH_SLIDE_SP3T";;;
18;"U$4";"BUTTON_RA";1;"BUTTON_RA";;;
19;"QG1";"DIL14S";1;"7.3728Mhz";;;
20;"U$2";"SMALL_TP";1;"SMALL_TP";;;
21;"R9";"CT6";1;"500K";;;
22;"C4,C7";"C025-025X050";2;"100nF";;;
